33.194421,-117.384276,0.000000
33.192678,-117.382833,0.000000
33.192996,-117.382214,0.000000
33.193976,-117.382987,0.000000
33.194780,-117.383653,0.000000
33.195499,-117.384266,0.000000
33.196173,-117.384830,0.000000
33.196297,-117.384898,0.000000
33.196920,-117.385045,13.853388
33.197045,-117.385093,13.516809
33.197410,-117.385404,13.237851
33.197461,-117.385406,13.237851
33.197987,-117.384553,14.160948
33.198309,-117.384073,14.730872
33.198493,-117.384010,14.833245
33.199330,-117.384702,14.243156
33.200020,-117.385297,13.840713
33.200051,-117.385499,13.588007
33.199933,-117.385696,13.180257
33.199911,-117.385740,13.180257
33.199954,-117.385868,12.947088
33.200964,-117.386792,8.744123
33.201684,-117.387337,10.281160
33.202641,-117.387684,8.052496
33.203110,-117.387551,5.299451
33.204487,-117.386343,3.198978
33.205042,-117.385444,4.539347
33.205543,-117.385095,3.148759
33.205855,-117.385066,1.973448
33.205934,-117.384997,1.942948
33.206287,-117.384026,2.784422
33.206350,-117.383672,3.034881
33.206297,-117.383143,3.347047
33.206400,-117.382833,4.553149
33.207256,-117.382249,2.442879
33.208202,-117.381348,3.988210
33.209114,-117.380076,11.918401
33.209631,-117.379546,10.594100
33.210250,-117.378637,5.681238
33.210448,-117.378234,5.039621
33.211709,-117.376606,4.223434
33.212296,-117.375592,4.010633
33.212720,-117.374417,5.266950
33.212921,-117.373478,6.010618
33.212977,-117.372440,6.193347
33.212795,-117.368186,6.513546
33.212847,-117.367584,9.119830
33.212924,-117.367428,9.642925
33.213349,-117.367337,6.585311
